"waluta","cena","Oferta od","Kategoria","Marka pojazdu","Model pojazdu","Wersja","Generacja","Rok produkcji","Przebieg","Pojemnoœæ skokowa","Rodzaj paliwa","Moc","Skrzynia biegów","Napêd","Spalanie W Mieœcie","Typ nadwozia","Emisja CO2","Liczba drzwi","Liczba miejsc","Kolor","Rodzaj koloru","VAT mar¿a","Kraj pochodzenia","Bezwypadkowy","Serwisowany w ASO","Stan","Mo¿liwoœæ finansowania","Faktura VAT","Leasing","Op³ata pocz¹tkowa","Miesiêczna rata","Liczba pozosta³ych rat","Okres gwarancji producenta","Wartoœæ wykupu","Pierwsza rejestracja","Numer rejestracyjny pojazdu","Zarejestrowany w Polsce","Pierwszy w³aœciciel","Filtr cz¹stek sta³ych","Spalanie W Cyklu Mieszanym","Spalanie Poza Miastem","Homologacja ciê¿arowa","Gwarancja dealerska (w cenie)","Zarejestrowany jako zabytek","lub do (przebieg km)","Uszkodzony","Kierownica po prawej (Anglik)","Tuning"
"PLN","128 900","Firmy","Osobowe","Audi","A6","Avant 3.0 TDI quattro S tronic","C7 (2011-2018)","2018","174 000 km","2 967 cm3","Diesel","272 KM","Automatyczna","4x4 (sta³y)","6 l/100km","Kombi","138 g/km","5","5","Szary","Metalik",NA,"Niemcy","Tak","Tak","U¿ywane","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","25 400","Firmy","Osobowe","Audi","A4","1.6",NA,"2007","133 617 km","1 595 cm3","Benzyna","102 KM","Manualna","Na przednie ko³a","10 l/100km","Kompakt",NA,"4","5","Niebieski","Metalik","Tak","Niemcy","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"30/10/2007","null","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","38 800","Osoby prywatnej","Osobowe","Audi","A4","Avant 2.0 TFSI multitronic","B8 (2007-2015)","2010","252 500 km","1 984 cm3","Benzyna","180 KM","Automatyczna","Na przednie ko³a","9,80 l/100km","Kombi","172 g/km","5","5","Srebrny","Metalik",NA,NA,"Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSA42368","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","29 900","Osoby prywatnej","Osobowe","Audi","A4","2.0 TDI",NA,"2009","260 000 km","1 968 cm3","Diesel","143 KM","Manualna","Na przednie ko³a","7 l/100km","Kombi",NA,"5","5","Szary","Metalik",NA,"Niemcy",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"16/06/2009","Sbi93162","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","204 000","Firmy","Osobowe","Audi","A6","50 TDI mHEV Quattro Tiptronic","C8 (2018-)","2018","144 500 km","2 967 cm3","Diesel","286 KM","Automatyczna","4x4 (sta³y)","7 l/100km","Kombi","155 g/km","5","5","Czarny","Metalik",NA,NA,NA,"Tak","U¿ywane",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","59 900","Osoby prywatnej","Osobowe","Audi","A5","1.8 TFSI",NA,"2012","173 000 km","1 798 cm3","Benzyna","170 KM","Manualna","Na przednie ko³a","7 l/100km","Auta miejskie",NA,"5","5","Bia³y",NA,NA,"Polska","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"30/11/2012","PO 959WG","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","184 900","Firmy","Osobowe","Audi","A4",NA,"B9 (2015-)","2020","6 487 km","1 984 cm3","Benzyna","150 KM","Automatyczna","Na przednie ko³a",NA,"Kombi",NA,"5","5","Szary","Metalik",NA,"Polska",NA,NA,"U¿ywane","Tak","Tak","Tak",NA,NA,NA,NA,NA,"16/10/2020","PO8RU06","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","89 900","Firmy","Osobowe","Audi","A3","1.4 TFSI E-tron Ambition e-S tronic","8V (2012-)","2017","105 000 km","1 395 cm3","Hybryda","150 KM","Automatyczna","Na przednie ko³a",NA,"Kompakt","35 g/km","5","5","Niebieski","Metalik",NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","187 900","Firmy","Osobowe","Audi","Q7","3.0 TFSI quattro tiptronic","II (2015-)","2015","128 300 km","2 995 cm3","Benzyna","333 KM","Automatyczna","4x4 (sta³y)","9,40 l/100km","SUV","249 g/km","5","5","Niebieski","Metalik",NA,"Polska","Tak","Tak","U¿ywane","Tak","Tak","Tak",NA,NA,NA,NA,NA,"26/11/2015",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","59 900","Osoby prywatnej","Osobowe","Audi","A4 Allroad","3.0 TDI clean diesel Quattro S tronic",NA,"2013","319 225 km","2 967 cm3","Diesel","245 KM","Automatyczna","4x4 (sta³y)","7 l/100km","Kombi","159 g/km","5","5","Srebrny","Metalik","Tak","Niemcy","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"16/04/2013","EBE20553",NA,NA,NA,"6 l/100km","5 l/100km",NA,NA,NA,NA,NA,NA,NA
"PLN","85 500","Osoby prywatnej","Osobowe","Audi","A4","Avant 2.0 TDI S tronic","B9 (2015-)","2017","190 070 km","1 968 cm3","Diesel","150 KM","Automatyczna","Na przednie ko³a","7 l/100km","Kombi",NA,"5","5","Niebieski","Metalik",NA,NA,"Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"05/07/2017","NM NP 1408",NA,"Tak","Tak","5 l/100km","6 l/100km",NA,NA,NA,NA,NA,NA,NA
"PLN","10 600","Osoby prywatnej","Osobowe","Audi","A2",NA,NA,"2000","176 000 km","1 390 cm3","Benzyna","75 KM","Manualna","Na przednie ko³a",NA,"Auta ma³e",NA,"5","5","Srebrny","Metalik","Tak","Niemcy","Tak","Tak","U¿ywane","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","13 500","Osoby prywatnej","Osobowe","Audi","A4","Avant 1.9 TDI",NA,"2001","266 000 km","1 896 cm3","Diesel","130 KM","Manualna","Na przednie ko³a","7 l/100km","Kombi",NA,"5",NA,"Czarny",NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","28 400","Osoby prywatnej","Osobowe","Audi","A4",NA,"B8 (2007-2015)","2008","262 000 km","1 968 cm3","Diesel","143 KM","Automatyczna","Na przednie ko³a",NA,"Kombi",NA,"5","5","Czarny","Metalik",NA,"Niemcy",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","29 999","Osoby prywatnej","Osobowe","Audi","A4","2.0 TDI","B8 (2007-2015)","2008","218 000 km","1 968 cm3","Diesel","143 KM","Manualna","Na przednie ko³a","7 l/100km","Kombi","149 g/km","5","5","Zielony","Metalik","Tak","Austria",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"01/09/2008","CW0627G","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","133 333","Firmy","Osobowe","Audi","A4","40 TDI Advanced S tronic",NA,"2018","40 000 km","1 968 cm3","Diesel","190 KM","Automatyczna","Na przednie ko³a","4 l/100km","Kombi",NA,"5","5","Czarny","Metalik","Tak","Niemcy","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,"null",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","29 900","Osoby prywatnej","Osobowe","Audi","A3","1.8 TFSI Ambiente","8P (2003-2012)","2009","151 000 km","1 798 cm3","Benzyna","160 KM","Manualna","Na przednie ko³a","9 l/100km","Kompakt","157 g/km","5","5","Inny kolor","Metalik",NA,"Niemcy","Tak","Tak","U¿ywane","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","35 900","Osoby prywatnej","Osobowe","Audi","A6","3.0 TDI Quattro Tiptronic","C6 (2004-2011)","2011","224 000 km","2 967 cm3","Diesel","240 KM","Automatyczna","4x4 (sta³y)","9 l/100km","Kombi","189 g/km","5","5","Czarny","Metalik",NA,NA,"Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","16 999","Osoby prywatnej","Osobowe","Audi","A3","2.0 TDI Ambition S tronic","8P (2003-2012)","2007","264 000 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","7 l/100km","Kompakt",NA,"5","5","Niebieski","Metalik",NA,NA,"Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","38 000","Osoby prywatnej","Osobowe","Audi","Q7","3.0 TDI Quattro Tiptronic","I (2005-2015)","2006","350 000 km","2 967 cm3","Diesel","233 KM","Automatyczna","4x4 (sta³y)","14 l/100km","SUV","282 g/km","5","7","Czarny","Per³owy",NA,"Niemcy","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"14/01/2010","ZSZ 10864","Tak",NA,"Tak",NA,NA,"Tak",NA,NA,NA,NA,NA,NA
"PLN","99 900","Osoby prywatnej","Osobowe","Audi","A6",NA,"C7 (2011-2018)","2014","159 000 km","2 967 cm3","Diesel","204 KM","Automatyczna","4x4 (sta³y)",NA,"Kombi",NA,"5","5","Czarny","Metalik",NA,"Austria",NA,"Tak","U¿ywane","Tak",NA,NA,NA,NA,NA,NA,NA,"30/07/2014","null","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","78 900","Osoby prywatnej","Osobowe","Audi","A3","3.2 Quattro S tronic",NA,"2006","224 000 km","3 189 cm3","Benzyna","250 KM","Automatyczna",NA,NA,"Kompakt",NA,"5","5","Inny kolor",NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","43 900","Osoby prywatnej","Osobowe","Audi","A4","2.0 TDI Multitronic","B8 (2007-2015)","2012","233 978 km","1 968 cm3","Diesel","143 KM","Automatyczna","Na przednie ko³a","5 l/100km","Kombi","159 g/km","5","5","Czarny","Per³owy",NA,"Niemcy","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"02/10/2012","NOL9377A","Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","67 000","Firmy","Osobowe","Audi","A7","3.0 TDI multitronic","C7 (2011-2018)","2012","189 400 km","2 967 cm3","Diesel","204 KM","Automatyczna","Na przednie ko³a","5,90 l/100km","Sedan",NA,"5","5","Srebrny","Metalik","Tak","Niemcy",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak","Tak","Tak",NA,NA,NA,"3 miesiêcy",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","7 000","Osoby prywatnej","Osobowe","Audi","A4",NA,"B6 (2000-2004)","2001","246 000 km","1 984 cm3","Benzyna","130 KM","Manualna","Na przednie ko³a",NA,"Sedan",NA,"5","5","Srebrny","Metalik",NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","119 900","Firmy","Osobowe","Audi","A4","2.0 TDI Quattro Sport S tronic","B9 (2015-)","2017","122 000 km","1 968 cm3","Diesel","190 KM","Automatyczna","4x4 (sta³y)","5 l/100km","Kombi","114 g/km","4","5","Czarny","Per³owy","Tak","Niemcy","Tak","Tak","U¿ywane",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,"Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","16 600","Osoby prywatnej","Osobowe","Audi","90","2.3 E","B3 (1986-1991)","1990","260 000 km","2 309 cm3","Benzyna","136 KM","Manualna","4x4 (sta³y)",NA,"Sedan",NA,"4","5","Inny kolor",NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","64 900","Osoby prywatnej","Osobowe","Audi","A6","2.0 TDI Multitronic",NA,"2012","226 000 km","1 968 cm3","Diesel","177 KM","Automatyczna","Na przednie ko³a","6 l/100km","Kombi",NA,"4","5","Czarny","Per³owy",NA,"Niemcy","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"01/05/2013",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","56 900","Osoby prywatnej","Osobowe","Audi","A3","1.4 TFSI Edycja Specjalna","8V (2012-)","2015","154 000 km","1 395 cm3","Benzyna","125 KM","Manualna","Na przednie ko³a","6 l/100km","Kompakt","117 g/km","5","5","Czarny","Metalik","Tak","Niemcy","Tak","Tak","U¿ywane","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","36 900","Osoby prywatnej","Osobowe","Audi","A4","2.0 TDI Limited Edition",NA,"2011","255 600 km","1 968 cm3","Diesel","143 KM","Manualna",NA,"7 l/100km","Kombi",NA,"4","5","Bia³y",NA,NA,NA,"Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,"null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","42 000","Osoby prywatnej","Osobowe","Audi","A4","2.0 TDI",NA,"2009","231 000 km","1 968 cm3","Diesel","143 KM","Manualna","Na przednie ko³a","5 l/100km","Sedan",NA,"4","5","Czarny","Metalik",NA,"Niemcy","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"10/12/2009","GPU 8KK8","Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","56 900","Osoby prywatnej","Osobowe","Audi","A4","Avant 2.0 TDI","B8 (2007-2015)","2015","240 000 km","1 968 cm3","Diesel","150 KM","Manualna","Na przednie ko³a","4,80 l/100km","Kombi",NA,"5","5","Szary","Metalik",NA,NA,NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"26/08/2015",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","27 800","Firmy","Osobowe","Audi","A3","1.4 TFSI Sportback","8P (2003-2012)","2009","176 782 km","1 390 cm3","Benzyna","125 KM","Manualna","Na przednie ko³a","7,30 l/100km","Kompakt",NA,"5","5","Bia³y",NA,NA,"Niemcy","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","19 000","Osoby prywatnej","Osobowe","Audi","A3",NA,NA,"2006","280 000 km","1 598 cm3","Benzyna+LPG","116 KM","Manualna","Na przednie ko³a",NA,"Auta miejskie",NA,"5","5","Niebieski","Metalik",NA,NA,"Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"19/03/2019","null","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","19 999","Osoby prywatnej","Osobowe","Audi","A3","1.6 Ambition","8P (2003-2012)","2009","133 000 km","1 595 cm3","Benzyna","102 KM","Manualna","Na przednie ko³a","9 l/100km","Auta ma³e",NA,"2","5","Czerwony",NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,"null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","79 750","Osoby prywatnej","Osobowe","Audi","A3","2.0 TFSI Limousine quattro S tronic","8V (2012-)","2017","39 200 km","1 984 cm3","Benzyna","190 KM","Automatyczna","4x4 (sta³y)","7,20 l/100km","Kompakt","132 g/km","4","5","Czarny","Metalik",NA,"Kanada",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"06/07/2017","OPO47962","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","46 900","Osoby prywatnej","Osobowe","Audi","A4","1.8 TFSI multitronic","B8 (2007-2015)","2013","113 100 km","1 798 cm3","Benzyna","170 KM","Automatyczna","Na przednie ko³a","6 l/100km","Kombi","132 g/km","4","5","Inny kolor","Metalik",NA,"Niemcy",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","64 900","Osoby prywatnej","Osobowe","Audi","A3",NA,"8V (2012-)","2013","158 000 km","1 968 cm3","Diesel","184 KM","Automatyczna","4x4 (sta³y)",NA,"Kompakt","127 g/km","5","5","Szary","Metalik",NA,"Francja","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"11/06/2021",NA,"Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","123 700","Firmy","Osobowe","Audi","A3",NA,"8Y (2020 - )","2021","5 km","1 498 cm3","Benzyna","150 KM","Manualna","Na przednie ko³a",NA,"Coupe",NA,"5","5","Czarny",NA,NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","843 000","Firmy","Osobowe","Audi","RS6",NA,NA,"2022","5 km","3 996 cm3","Benzyna","600 KM","Automatyczna","4x4 (sta³y)",NA,"Coupe",NA,"5","5","Czarny","Metalik",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","938 700","Firmy","Osobowe","Audi","RS7",NA,NA,"2021","5 km","3 996 cm3","Benzyna","600 KM","Automatyczna","4x4 (sta³y)",NA,"Coupe",NA,"5","5","Niebieski","Matowy",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","300 200","Firmy","Osobowe","Audi","Q4 Sportback",NA,NA,"2021","5 km",NA,"Elektryczny","204 KM","Automatyczna","Na tylne ko³a",NA,"SUV",NA,"5","5","Czarny","Metalik",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","275 200","Firmy","Osobowe","Audi","A6",NA,"C8 (2018-)","2021","5 km","1 968 cm3","Diesel","204 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"Sedan",NA,"5","5","Czarny",NA,NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","300 400","Firmy","Osobowe","Audi","A6",NA,"C8 (2018-)","2021","5 km","1 968 cm3","Diesel","204 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"Kombi",NA,"5","5","Szary","Metalik",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","295 500","Firmy","Osobowe","Audi","A5",NA,"F5 (2016-)","2021","5 km","1 968 cm3","Benzyna","265 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"Coupe",NA,"5","5","Czarny","Metalik",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","266 400","Firmy","Osobowe","Audi","A6",NA,"C8 (2018-)","2021","5 km","1 968 cm3","Diesel","204 KM","Automatyczna","Na przednie ko³a",NA,"Kombi",NA,"5","5","Szary","Per³owy",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","277 000","Firmy","Osobowe","Audi","Q5",NA,"FY (2017-)","2021","5 km","1 968 cm3","Diesel","204 KM","Automatyczna","Na przednie ko³a",NA,"SUV",NA,"5","5","Niebieski","Metalik",NA,"Polska","Tak",NA,"Nowe","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
